gERCC_ID	molecules
gERCC-00075	0.010768433
gERCC-00057	0.010768433
gERCC-00048	0.010768433
gERCC-00083	0.021536858
gERCC-00117	0.043073715
gERCC-00098	0.043073715
gERCC-00061	0.043073715
gERCC-00017	0.086147431
gERCC-00138	0.086147431
gERCC-00012	0.086147431
gERCC-00086	0.086147431
gERCC-00123	0.172294862
gERCC-00104	0.172294862
gERCC-00142	0.172294862
gERCC-00024	0.172294862
gERCC-00016	0.172294862
gERCC-00041	0.172294862
gERCC-00081	0.172294862
gERCC-00097	0.344589716
gERCC-00156	0.344589716
gERCC-00158	0.344589716
gERCC-00164	0.344589716
gERCC-00168	0.344589716
gERCC-00147	0.689179432
gERCC-00109	0.689179432
gERCC-00073	0.689179432
gERCC-00120	0.689179432
gERCC-00040	0.689179432
gERCC-00137	0.689179432
gERCC-00013	0.689179432
gERCC-00033	1.378358871
gERCC-00134	1.378358871
gERCC-00031	1.378358871
gERCC-00058	1.378358871
gERCC-00069	1.378358871
gERCC-00028	2.756717742
gERCC-00150	2.756717742
gERCC-00067	2.756717742
gERCC-00143	2.756717742
gERCC-00039	2.756717742
gERCC-00014	2.756717742
gERCC-00077	2.756717742
gERCC-00154	5.513435477
gERCC-00085	5.513435477
gERCC-00034	5.513435477
gERCC-00157	5.513435477
gERCC-00160	5.513435477
gERCC-00170	11.02687095
gERCC-00148	11.02687095
gERCC-00126	11.02687095
gERCC-00099	11.02687095
gERCC-00054	11.02687095
gERCC-00163	11.02687095
gERCC-00059	11.02687095
gERCC-00019	22.05374191
gERCC-00144	22.05374191
gERCC-00053	22.05374191
gERCC-00084	22.05374191
gERCC-00078	22.05374191
gERCC-00062	44.10748381
gERCC-00025	44.10748381
gERCC-00051	44.10748381
gERCC-00162	44.10748381
gERCC-00071	44.10748381
gERCC-00165	44.10748381
gERCC-00079	44.10748381
gERCC-00095	88.21496763
gERCC-00131	88.21496763
gERCC-00035	88.21496763
gERCC-00044	88.21496763
gERCC-00112	88.21496763
gERCC-00092	176.4299353
gERCC-00060	176.4299353
gERCC-00076	176.4299353
gERCC-00022	176.4299353
gERCC-00116	352.8598705
gERCC-00042	352.8598705
gERCC-00111	352.8598705
gERCC-00043	352.8598705
gERCC-00108	705.719741
gERCC-00009	705.719741
gERCC-00145	705.719741
gERCC-00003	705.719741
gERCC-00136	1411.439482
gERCC-00171	2822.878964
gERCC-00113	2822.878964
gERCC-00046	2822.878964
gERCC-00004	5645.757928
gERCC-00096	11291.51586
gERCC-00074	11291.51586
gERCC-00002	11291.51586
gERCC-00130	22583.03171
