ERCC_ID	SCRB	Smart2
ERCC-00075	0.009691589	0.012114487
ERCC-00057	0.009691589	0.012114487
ERCC-00048	0.009691589	0.012114487
ERCC-00083	0.019383172	0.024228965
ERCC-00117	0.038766344	0.04845793
ERCC-00098	0.038766344	0.04845793
ERCC-00061	0.038766344	0.04845793
ERCC-00017	0.077532688	0.09691586
ERCC-00138	0.077532688	0.09691586
ERCC-00012	0.077532688	0.09691586
ERCC-00086	0.077532688	0.09691586
ERCC-00123	0.155065376	0.193831719
ERCC-00104	0.155065376	0.193831719
ERCC-00142	0.155065376	0.193831719
ERCC-00024	0.155065376	0.193831719
ERCC-00016	0.155065376	0.193831719
ERCC-00041	0.155065376	0.193831719
ERCC-00081	0.155065376	0.193831719
ERCC-00097	0.310130744	0.38766343
ERCC-00156	0.310130744	0.38766343
ERCC-00158	0.310130744	0.38766343
ERCC-00164	0.310130744	0.38766343
ERCC-00168	0.310130744	0.38766343
ERCC-00147	0.620261489	0.775326861
ERCC-00109	0.620261489	0.775326861
ERCC-00073	0.620261489	0.775326861
ERCC-00120	0.620261489	0.775326861
ERCC-00040	0.620261489	0.775326861
ERCC-00137	0.620261489	0.775326861
ERCC-00013	0.620261489	0.775326861
ERCC-00033	1.240522984	1.55065373
ERCC-00134	1.240522984	1.55065373
ERCC-00031	1.240522984	1.55065373
ERCC-00058	1.240522984	1.55065373
ERCC-00069	1.240522984	1.55065373
ERCC-00028	2.481045968	3.10130746
ERCC-00150	2.481045968	3.10130746
ERCC-00067	2.481045968	3.10130746
ERCC-00143	2.481045968	3.10130746
ERCC-00039	2.481045968	3.10130746
ERCC-00014	2.481045968	3.10130746
ERCC-00077	2.481045968	3.10130746
ERCC-00154	4.962091929	6.202614911
ERCC-00085	4.962091929	6.202614911
ERCC-00034	4.962091929	6.202614911
ERCC-00157	4.962091929	6.202614911
ERCC-00160	4.962091929	6.202614911
ERCC-00170	9.924183858	12.40522982
ERCC-00148	9.924183858	12.40522982
ERCC-00126	9.924183858	12.40522982
ERCC-00099	9.924183858	12.40522982
ERCC-00054	9.924183858	12.40522982
ERCC-00163	9.924183858	12.40522982
ERCC-00059	9.924183858	12.40522982
ERCC-00019	19.84836772	24.81045965
ERCC-00144	19.84836772	24.81045965
ERCC-00053	19.84836772	24.81045965
ERCC-00084	19.84836772	24.81045965
ERCC-00078	19.84836772	24.81045965
ERCC-00062	39.69673543	49.62091929
ERCC-00025	39.69673543	49.62091929
ERCC-00051	39.69673543	49.62091929
ERCC-00162	39.69673543	49.62091929
ERCC-00071	39.69673543	49.62091929
ERCC-00165	39.69673543	49.62091929
ERCC-00079	39.69673543	49.62091929
ERCC-00095	79.39347086	99.24183858
ERCC-00131	79.39347086	99.24183858
ERCC-00035	79.39347086	99.24183858
ERCC-00044	79.39347086	99.24183858
ERCC-00112	79.39347086	99.24183858
ERCC-00092	158.7869417	198.4836772
ERCC-00060	158.7869417	198.4836772
ERCC-00076	158.7869417	198.4836772
ERCC-00022	158.7869417	198.4836772
ERCC-00116	317.5738835	396.9673543
ERCC-00042	317.5738835	396.9673543
ERCC-00111	317.5738835	396.9673543
ERCC-00043	317.5738835	396.9673543
ERCC-00108	635.1477669	793.9347086
ERCC-00009	635.1477669	793.9347086
ERCC-00145	635.1477669	793.9347086
ERCC-00003	635.1477669	793.9347086
ERCC-00136	1270.295534	1587.869417
ERCC-00171	2540.591068	3175.738835
ERCC-00113	2540.591068	3175.738835
ERCC-00046	2540.591068	3175.738835
ERCC-00004	5081.182135	6351.477669
ERCC-00096	10162.36427	12702.95534
ERCC-00074	10162.36427	12702.95534
ERCC-00002	10162.36427	12702.95534
ERCC-00130	20324.72854	25405.91068
