PEG	input	yield
0% PEG	50	10.95168
0% PEG	25	5.00112
0% PEG	15	1.90992
0% PEG	10	1.79952
0% PEG	5	0.40848
0% PEG	2.5	0.17664
0% PEG	1	-0.56304
0% PEG	0.75	2.10864
0% PEG	0.5	-0.30912
0% PEG	0.25	-0.50784
0% PEG	0.1	0.30912
0% PEG	0	-1.00464
0% PEG	50	10.02432
0% PEG	25	4.07376
0% PEG	15	1.84368
0% PEG	10	2.90352
0% PEG	5	0.24288
0% PEG	2.5	-0.0552
0% PEG	1	0.02208
0% PEG	0.75	0.51888
0% PEG	0.5	0.18768
0% PEG	0.25	0.68448
0% PEG	0.1	-0.76176
0% PEG	0	-0.28704
0% PEG	50	10.30032
0% PEG	25	3.96336
0% PEG	15	2.40672
0% PEG	10	1.77744
0% PEG	5	0.08832
0% PEG	2.5	0.58512
0% PEG	1	-0.37536
0% PEG	0.75	-0.76176
0% PEG	0.5	-0.6624
0% PEG	0.25	-0.64032
0% PEG	0.1	-0.51888
0% PEG	0	-0.24288
7.5% PEG	50	55.85136
7.5% PEG	25	29.43264
7.5% PEG	15	16.96848
7.5% PEG	10	13.82208
7.5% PEG	5	3.28992
7.5% PEG	2.5	3.79776
7.5% PEG	1	1.9872
7.5% PEG	0.75	0.32016
7.5% PEG	0.5	0.92736
7.5% PEG	0.25	2.18592
7.5% PEG	0.1	0.94944
7.5% PEG	0	0.85008
7.5% PEG	50	62.7072
7.5% PEG	25	36.708
7.5% PEG	15	16.86912
7.5% PEG	10	12.44208
7.5% PEG	5	2.77104
7.5% PEG	2.5	2.38464
7.5% PEG	1	1.62288
7.5% PEG	0.75	0.89424
7.5% PEG	0.5	1.19232
7.5% PEG	0.25	1.09296
7.5% PEG	0.1	0.45264
7.5% PEG	0	0.41952
7.5% PEG	50	58.5672
7.5% PEG	25	30.82368
7.5% PEG	15	16.43856
7.5% PEG	10	15.3456
7.5% PEG	5	6.24864
7.5% PEG	2.5	4.16208
7.5% PEG	1	2.2632
7.5% PEG	0.75	0.47472
7.5% PEG	0.5	1.47936
7.5% PEG	0.25	1.12608
7.5% PEG	0.1	0.76176
7.5% PEG	0	-0.09936
