"enzyme"	"input"	"yield"
"Maxima H-"	2	68.83690342
"RevertAid"	2	84.05674558
"Maxima H-"	2	37.141039
"SuperScript II"	2	21.79558445
"MMLV Point Mutant"	2	0.108311727
"ProtoScript II"	2	23.23012991
"EnzScript"	2	41.85649355
"SMARTScribe"	2	27.35922082
"RevertUP II"	2	9.133766273
"RevertAid"	2	58.86012991
"GoScript"	2	3.822857182
"Maxima H-"	2	79.71155931
"SuperScript II"	2	72.0516157
"MMLV Point Mutant"	2	1.769681197
"ProtoScript II"	2	63.33550206
"EnzScript"	2	113.3571893
"SMARTScribe"	2	69.13684667
"RevertUP II"	2	20.0802429
"RevertAid"	2	107.553676
"GoScript"	2	22.19258295
"Maxima H-"	2	35.43204
"SMARTScribe"	2	34.57776
"Maxima H-"	2	30.36432
"SMARTScribe"	2	41.30112
"Maxima H-"	2	52.44708
"SMARTScribe"	2	54.19596
"Maxima H-"	1	93.54941751
"RevertAid"	1	76.67230365
"Maxima H-"	1	53.42558445
"SuperScript II"	1	11.18194809
"MMLV Point Mutant"	1	0.641039
"ProtoScript II"	1	18.25376627
"EnzScript"	1	28.99376627
"SMARTScribe"	1	40.82649355
"RevertUP II"	1	4.427402636
"RevertAid"	1	36.89376627
"GoScript"	1	2.806493545
"Maxima H-"	1	54.1270874
"SuperScript II"	1	33.7085231
"MMLV Point Mutant"	1	0.893515506
"ProtoScript II"	1	34.07286923
"EnzScript"	1	53.30297116
"SMARTScribe"	1	68.68141401
"RevertUP II"	1	7.059206246
"RevertAid"	1	74.67143787
"GoScript"	1	16.21990891
"Maxima H-"	1	49.54488
"SMARTScribe"	1	45.27264
"Maxima H-"	1	31.07496
"SMARTScribe"	1	43.88244
"Maxima H-"	1	50.988
"SMARTScribe"	1	54.4152
"Maxima H-"	0.5	80.88876362
"RevertAid"	0.5	61.26080421
"Maxima H-"	0.5	57.89649355
"SuperScript II"	0.5	4.530129909
"MMLV Point Mutant"	0.5	0.399220818
"ProtoScript II"	0.5	6.391948091
"EnzScript"	0.5	11.01831173
"SMARTScribe"	0.5	58.86012991
"RevertUP II"	0.5	3.211948091
"RevertAid"	0.5	26.17012991
"GoScript"	0.5	1.181039
"Maxima H-"	0.5	67.35849057
"SuperScript II"	0.5	8.024289742
"MMLV Point Mutant"	0.5	0.446757753
"ProtoScript II"	0.5	7.523313815
"EnzScript"	0.5	0.284103231
"SMARTScribe"	0.5	41.0301453
"RevertUP II"	0.5	3.30730861
"RevertAid"	0.5	28.44502277
"GoScript"	0.5	6.794621557
"Maxima H-"	0.5	42.19572
"SMARTScribe"	0.5	44.70312
"Maxima H-"	0.5	33.9654
"SMARTScribe"	0.5	46.06812
"Maxima H-"	0.5	43.01892
"SMARTScribe"	0.5	54.4152
"Maxima H-"	0.125	101.8169861
"RevertAid"	0.125	10.19353626
"Maxima H-"	0.125	58.86012991
"SuperScript II"	0.125	0.853766273
"MMLV Point Mutant"	0.125	0.101948091
"ProtoScript II"	0.125	1.429220818
"EnzScript"	0.125	1.510129909
"SMARTScribe"	0.125	39.08012991
"RevertUP II"	0.125	0.620129909
"RevertAid"	0.125	4.349220818
"GoScript"	0.125	0.554675364
"Maxima H-"	0.125	121.0626762
"SuperScript II"	0.125	0.999783127
"MMLV Point Mutant"	0.125	0.355671221
"ProtoScript II"	0.125	2.092821514
"EnzScript"	0.125	2.205595316
"SMARTScribe"	0.125	55.53025374
"RevertUP II"	0.125	0.808935155
"RevertAid"	0.125	6.909564086
"GoScript"	0.125	1.901973542
"Maxima H-"	0.125	27.7956
"SMARTScribe"	0.125	44.32428
"Maxima H-"	0.125	39.72276
"SMARTScribe"	0.125	1.85808
"Maxima H-"	0.125	25.42764
"SMARTScribe"	0.125	46.89468
"Maxima H-"	0.0625	61.91469372
"RevertAid"	0.0625	5.319428786
"Maxima H-"	0.0625	40.16194809
"SuperScript II"	0.0625	0.294675364
"MMLV Point Mutant"	0.0625	0.060129909
"ProtoScript II"	0.0625	0.597402636
"EnzScript"	0.0625	0.388311727
"SMARTScribe"	0.0625	27.01649355
"RevertUP II"	0.0625	0.239220818
"RevertAid"	0.0625	2.502857182
"GoScript"	0.0625	0.074675364
"Maxima H-"	0.0625	61.13207547
"SuperScript II"	0.0625	0.485794838
"MMLV Point Mutant"	0.0625	0.305790501
"ProtoScript II"	0.0625	0.887009326
"EnzScript"	0.0625	1.01930167
"SMARTScribe"	0.0625	45.73411408
"RevertUP II"	0.0625	0.44892648
"RevertAid"	0.0625	4.10540013
"GoScript"	0.0625	1.025807851
"Maxima H-"	0.0625	21.3066
"SMARTScribe"	0.0625	25.47048
"Maxima H-"	0.0625	18.86388
"SMARTScribe"	0.0625	30.05016
"Maxima H-"	0.0625	15.62568
"SMARTScribe"	0.0625	17.59212
"Maxima H-"	0.03125	50.48665915
"RevertAid"	0.03125	2.485907554
"Maxima H-"	0.03125	31.41740264
"SuperScript II"	0.03125	0.215584455
"MMLV Point Mutant"	0.03125	0.079220818
"ProtoScript II"	0.03125	0.437402636
"EnzScript"	0.03125	0.409220818
"SMARTScribe"	0.03125	30.24649355
"RevertUP II"	0.03125	0.111039
"RevertAid"	0.03125	0.773766273
"GoScript"	0.03125	0.107402636
"Maxima H-"	0.03125	31.63955758
"SuperScript II"	0.03125	0.422901757
"MMLV Point Mutant"	0.03125	0.316634136
"ProtoScript II"	0.03125	0.505313381
"EnzScript"	0.03125	0.750379527
"SMARTScribe"	0.03125	16.36955107
"RevertUP II"	0.03125	0.440251572
"RevertAid"	0.03125	2.142702234
"GoScript"	0.03125	0.542181739
"Maxima H-"	0.03125	2.96604
"SMARTScribe"	0.03125	11.59872
"Maxima H-"	0.03125	10.35216
"SMARTScribe"	0.03125	14.10948
"Maxima H-"	0.03125	10.22028
"SMARTScribe"	0.03125	14.19264
"Maxima H-"	0.015625	31.33220594
"RevertAid"	0.015625	1.290868095
"Maxima H-"	0.015625	4.030129909
"SuperScript II"	0.015625	0.188311727
"MMLV Point Mutant"	0.015625	0.061948091
"ProtoScript II"	0.015625	0.181948091
"EnzScript"	0.015625	0.181039
"SMARTScribe"	0.015625	19.43194809
"RevertUP II"	0.015625	0.116493545
"RevertAid"	0.015625	0.529220818
"GoScript"	0.015625	0.080129909
"Maxima H-"	0.015625	23.86900889
"SuperScript II"	0.015625	0.346996313
"MMLV Point Mutant"	0.015625	0.333983951
"ProtoScript II"	0.015625	0.518325743
"EnzScript"	0.015625	0.472782477
"SMARTScribe"	0.015625	7.913684667
"RevertUP II"	0.015625	0.416395576
"RevertAid"	0.015625	1.262199089
"GoScript"	0.015625	0.518325743
"Maxima H-"	0.015625	3.8094
"SMARTScribe"	0.015625	3.57336
"Maxima H-"	0.015625	2.51916
"SMARTScribe"	0.015625	0.73668
"Maxima H-"	0.015625	4.90644
"SMARTScribe"	0.015625	7.6062
"Maxima H-"	0.0078125	15.52236002
"RevertAid"	0.0078125	0.475385194
"Maxima H-"	0.0078125	5.598311727
"SuperScript II"	0.0078125	0.120129909
"MMLV Point Mutant"	0.0078125	0.018311727
"ProtoScript II"	0.0078125	0.114675364
"EnzScript"	0.0078125	0.105584455
"SMARTScribe"	0.0078125	8.624675364
"RevertUP II"	0.0078125	0.115584455
"RevertAid"	0.0078125	0.374675364
"GoScript"	0.0078125	0.043766273
"Maxima H-"	0.0078125	14.03600087
"SuperScript II"	0.0078125	0.316634136
"MMLV Point Mutant"	0.0078125	0.325309044
"ProtoScript II"	0.0078125	0.360008675
"EnzScript"	0.0078125	0.42073303
"SMARTScribe"	0.0078125	4.014313598
"RevertUP II"	0.0078125	0.351333767
"RevertAid"	0.0078125	0.704836261
"GoScript"	0.0078125	0.455432661
"Maxima H-"	0.0078125	2.00424
"SMARTScribe"	0.0078125	1.45572
"Maxima H-"	0.0078125	0.20916
"SMARTScribe"	0.0078125	5.10132
"Maxima H-"	0.0078125	2.73168
"SMARTScribe"	0.0078125	4.08156
"Maxima H-"	0.00390625	5.097707629
"RevertAid"	0.00390625	0.295001879
"Maxima H-"	0.00390625	1.39608
"SMARTScribe"	0.00390625	2.06304
"Maxima H-"	0.00390625	1.22808
"SMARTScribe"	0.00390625	1.6758
"Maxima H-"	0.00390625	1.3398
"SMARTScribe"	0.00390625	1.8984
"Maxima H-"	0.001953125	4.116873356
"RevertAid"	0.001953125	0.11837655
"Maxima H-"	0.001953125	1.01892
"SMARTScribe"	0.001953125	1.45992
"Maxima H-"	0.001953125	0.79128
"SMARTScribe"	0.001953125	0.70728
"Maxima H-"	0.001953125	0.9366
"SMARTScribe"	0.001953125	1.34316
"Maxima H-"	0.000976563	2.106350996
"RevertAid"	0.000976563	0.088312664
"Maxima H-"	0.000976563	0.56196
"SMARTScribe"	0.000976563	0.76104
"Maxima H-"	0.000976563	0.46788
"SMARTScribe"	0.000976563	0.5838
"Maxima H-"	0.000976563	0.42924
"SMARTScribe"	0.000976563	0.68964
